woreda_name,environ_var_code,week_epidemiar,ref_value,ref_sd,ref_yrcount,ref_max,ref_uq,ref_median,ref_lq,ref_min
Chora (Buno Bedele),lst_mean,25,16.18974425,0.35277042,12,16.95767000,16.43171425,16.04836800,15.98344525,15.72942000
Chora (Buno Bedele),lst_mean,26,16.15836617,0.38359189,12,16.72055200,16.41807000,16.24712350,15.84311175,15.58995500
Chora (Buno Bedele),lst_mean,27,15.83351625,0.57475099,12,16.97990500,16.01372400,15.63791650,15.41695800,15.22519700
Chora (Buno Bedele),lst_mean,28,15.83890108,0.59119497,12,16.75130800,16.34145000,15.85934600,15.31554900,14.95704600
Chora (Buno Bedele),lst_mean,29,15.89343000,0.36283666,12,16.43966200,16.25331350,15.80127650,15.59490950,15.42746600
Chora (Buno Bedele),lst_mean,30,15.86565000,0.32426543,12,16.29229800,16.12745900,15.93766550,15.68650900,15.24595300
Chora (Buno Bedele),lst_mean,31,15.67219908,0.39357299,12,16.17676900,15.95798625,15.79528300,15.41113600,14.84896900
Chora (Buno Bedele),lst_mean,32,16.00080483,0.35327686,12,16.75324700,16.21423100,15.95814200,15.69584525,15.60437600
Chora (Buno Bedele),lst_mean,33,16.08893650,0.52068968,12,17.09003300,16.38787775,16.03660300,15.89348225,15.04979300
Chora (Buno Bedele),lst_mean,34,16.11437117,0.40622857,12,17.01692600,16.30563500,16.02762450,15.87702600,15.45509000
Chora (Buno Bedele),lst_mean,35,16.04361600,0.46554909,12,16.97327300,16.27599175,15.98098050,15.79039875,15.31354400
Chora (Buno Bedele),lst_mean,36,16.26653217,0.38444101,12,16.83820500,16.54986425,16.25376850,16.00294075,15.73288000
Chora (Buno Bedele),lst_mean,37,16.40888367,0.28531104,12,16.87814800,16.51219375,16.44675300,16.25323825,15.91569100
Chora (Buno Bedele),lst_mean,38,16.41226350,0.22745017,12,16.80237400,16.52873225,16.40413100,16.25602975,16.06803400
Chora (Buno Bedele),lst_mean,39,16.52098083,0.56993763,12,17.83922600,16.69701750,16.40892100,16.21793275,15.75619200
Chora (Buno Bedele),lst_mean,40,16.82880550,0.71018014,12,18.38416500,17.17348125,16.73518150,16.37538175,15.69311600
Chora (Buno Bedele),lst_mean,41,16.82041233,0.76211087,12,18.77007500,16.91797700,16.72993700,16.28373900,16.14801300
Chora (Buno Bedele),lst_mean,42,16.91263633,0.45844945,12,17.76354300,17.04569475,16.95505650,16.65062675,16.24421600
Chora (Buno Bedele),lst_mean,43,17.18720142,0.31168771,12,17.59104100,17.45535175,17.11132300,17.00341200,16.63642800
Chora (Buno Bedele),lst_mean,44,17.13769000,0.52281317,12,17.83622600,17.44357550,17.33354650,16.64717200,16.33012600
Chora (Buno Bedele),lst_mean,45,17.13945717,0.53808399,12,18.12392600,17.41983300,17.04667000,16.87107900,16.12218000
Chora (Buno Bedele),lst_mean,46,17.46129325,0.43907669,12,18.01863200,17.71678775,17.56878100,17.18795250,16.73357300
Chora (Buno Bedele),lst_mean,47,17.73441550,0.55232266,12,18.32022800,18.14848600,17.86494400,17.59766850,16.66374200
Chora (Buno Bedele),lst_mean,48,17.83269725,0.47593644,12,18.58232300,18.16259975,17.85719300,17.56027150,17.10952700
Chora (Buno Bedele),lst_mean,49,17.85560550,0.41447211,12,18.43013600,18.18233325,17.89795700,17.56030350,17.16238800
Chora (Buno Bedele),lst_mean,50,17.93933533,0.63900009,12,18.93697700,18.29988650,18.06596650,17.64608100,16.56157600
Chora (Buno Bedele),lst_mean,51,18.22472483,0.77300752,12,19.18961400,18.64003575,18.29557100,18.04681525,16.37459800
Chora (Buno Bedele),lst_mean,52,18.31753138,0.59882379,13,19.09235700,18.58616700,18.43368400,18.17691000,16.60678500
Chora (Buno Bedele),ndvi,1,0.15576585,0.29668263,13,0.71862500,0.00000000,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,2,0.31926267,0.33473572,12,0.70825500,0.62863800,0.29100400,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,3,0.31607000,0.33247550,12,0.68389100,0.62011625,0.27472700,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,4,0.15583833,0.28248443,12,0.66659700,0.14580325,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,5,0.45336367,0.27603584,12,0.69221800,0.62050550,0.57396550,0.41848425,0.00000000
Chora (Buno Bedele),ndvi,6,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,7,0.55481183,0.18081913,12,0.70621600,0.62067900,0.59158500,0.56820550,0.00000000
Chora (Buno Bedele),ndvi,8,0.05160192,0.17875428,12,0.61922300,0.00000000,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,9,0.34753383,0.30809850,12,0.64176700,0.60919050,0.55255250,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,10,0.26328717,0.32743231,12,0.72183600,0.59964950,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,11,0.20797575,0.30815552,12,0.65827900,0.57472250,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,12,0.41809625,0.31137088,12,0.70096500,0.63904500,0.59208750,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,13,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,14,0.66944083,0.03706223,12,0.72279400,0.69740350,0.66683250,0.64240750,0.61292100
Chora (Buno Bedele),ndvi,15,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,16,0.50791917,0.31154930,12,0.75915000,0.71550400,0.64924400,0.40532475,0.00000000
Chora (Buno Bedele),ndvi,17,0.17823967,0.32346333,12,0.78196300,0.16809625,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,18,0.36302333,0.38024594,12,0.76801400,0.73195550,0.32861900,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,19,0.37451692,0.39205840,12,0.78345400,0.76028275,0.34982250,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,20,0.18831525,0.34098982,12,0.78724400,0.17963900,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,21,0.56639050,0.34284170,12,0.80100300,0.76596050,0.74517650,0.51198150,0.00000000
Chora (Buno Bedele),ndvi,22,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,23,0.66230133,0.21296308,12,0.78876700,0.75299975,0.71878150,0.68789475,0.00000000
Chora (Buno Bedele),ndvi,24,0.05495817,0.19038067,12,0.65949800,0.00000000,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,25,0.37413200,0.33535724,12,0.76232400,0.64672475,0.54731700,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,26,0.24389600,0.32403107,12,0.78103000,0.56444300,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,27,0.23449083,0.34969250,12,0.76380400,0.60625525,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,28,0.38512075,0.30473013,12,0.79933700,0.59836025,0.50707250,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,29,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,30,0.59868475,0.13661483,12,0.77303900,0.73943400,0.57994100,0.53553050,0.37516700
Chora (Buno Bedele),ndvi,31,0.00000000,0.00000000,12,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Chora (Buno Bedele),ndvi,32,0.50927875,0.33168654,12,0.78752300,0.75261450,0.68439350,0.24468525,0.00000000
